
2025/07/06 (20:59:47) | ===> btop++ v.1.3.0
2025/07/06 (20:59:47) | WARNING: Failed to join _runner thread on exit!

2025/07/06 (21:00:48) | ===> btop++ v.1.3.0
2025/07/06 (21:00:48) | WARNING: Failed to join _runner thread on exit!

2025/07/06 (21:02:46) | ===> btop++ v.1.3.0
2025/07/06 (21:02:46) | WARNING: Failed to join _runner thread on exit!

2025/07/06 (21:03:15) | ===> btop++ v.1.3.0
2025/07/06 (21:03:15) | WARNING: Failed to join _runner thread on exit!

2025/07/06 (21:30:16) | ===> btop++ v.1.3.0
2025/07/06 (21:30:16) | WARNING: Failed to join _runner thread on exit!

2025/07/06 (21:30:53) | ===> btop++ v.1.3.0
2025/07/06 (21:30:53) | WARNING: Failed to join _runner thread on exit!
